GalaxyName,S_tau_class,S_tau_proxy,LabelConfidence,LabelReason,LabelSource,IsBlindLabel,Notes
CamB,B,0.5,Low,low mean Vobs error; short radial coverage; well-conditioned inclination; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
D512-2,C,0.0,Low,few rotation-curve points; large inclination uncertainty; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
D564-8,C,0.0,Low,few rotation-curve points; low mean Vobs error; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
D631-7,B,0.5,Medium,many rotation-curve points; low mean Vobs error; well-conditioned inclination; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
DDO064,C,0.0,Low,short radial coverage; well-conditioned inclination; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
DDO154,B,0.5,Medium,low mean Vobs error; well-conditioned inclination; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
DDO161,B,0.5,Low,many rotation-curve points; low mean Vobs error; extended radial coverage; large inclination uncertainty; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
DDO168,B,0.5,Medium,low mean Vobs error; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
DDO170,B,0.5,Medium,low mean Vobs error; extended radial coverage; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
ESO079-G014,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
ESO116-G012,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
ESO444-G084,C,0.0,Low,few rotation-curve points; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
ESO563-G021,B,0.5,Medium,many rotation-curve points; high mean Vobs error; extended radial coverage; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
F561-1,C,0.0,Low,few rotation-curve points; extended radial coverage; face-on or edge-on inclination risk; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
F563-1,C,0.0,Low,many rotation-curve points; high mean Vobs error; extended radial coverage; face-on or edge-on inclination risk; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
F563-V1,C,0.0,Low,few rotation-curve points; large inclination uncertainty; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
F563-V2,C,0.0,Low,high mean Vobs error; extended radial coverage; face-on or edge-on inclination risk; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
F565-V2,C,0.0,Low,few rotation-curve points; extended radial coverage; large inclination uncertainty; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
F567-2,C,0.0,Low,few rotation-curve points; extended radial coverage; face-on or edge-on inclination risk; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
F568-1,C,0.0,Low,high mean Vobs error; extended radial coverage; face-on or edge-on inclination risk; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
F568-3,B,0.5,Low,many rotation-curve points; high mean Vobs error; extended radial coverage; large inclination uncertainty; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
F568-V1,B,0.5,Low,many rotation-curve points; high mean Vobs error; extended radial coverage; large inclination uncertainty; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
F571-8,B,0.5,Medium,extended radial coverage; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
F571-V1,C,0.0,Low,few rotation-curve points; extended radial coverage; large inclination uncertainty; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
F574-1,B,0.5,Medium,extended radial coverage; large inclination uncertainty; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
F574-2,C,0.0,Low,few rotation-curve points; high mean Vobs error; extended radial coverage; large inclination uncertainty; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
F579-V1,C,0.0,Low,high mean Vobs error; extended radial coverage; face-on or edge-on inclination risk; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
F583-1,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
F583-4,B,0.5,Medium,large inclination uncertainty; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
IC2574,B,0.5,Medium,many rotation-curve points; extended radial coverage; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
IC4202,B,0.5,Low,many rotation-curve points; extended radial coverage; face-on or edge-on inclination risk; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
KK98-251,B,0.5,Medium,many rotation-curve points; low mean Vobs error; well-conditioned inclination; good distance-quality flag; irregular/dwarf Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC0024,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag; disk-like Hubble type,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
NGC0055,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag,rotmod quality + SPARC Table1 metadata; residual-blind worksheet v0.1,true,machine suggestion; review before preregistration
